XS_ID,Point_ID,Running Distance (m),Offset,Reduced_Level,Level_Datum,G_Northing,G_Easting,G_Datum,Circuit,Code
MB3,3028,404.188,-0.002,101.579,Otago Vertical Datum,4864156.478,1356073.757,NZGD2000,NZTM,Spot Height
MB3,3029,410.14,0.002,102.015,Otago Vertical Datum,4864152.162,1356077.856,NZGD2000,NZTM,Spot Height
MB3,3030,420.619,-0.005,103.13,Otago Vertical Datum,4864144.573,1356085.081,NZGD2000,NZTM,Spot Height
MB3,3031,425.163,0,103.495,Otago Vertical Datum,4864141.276,1356088.209,NZGD2000,NZTM,Spot Height
MB3,3032,432.224,-0.009,103.333,Otago Vertical Datum,4864136.166,1356093.081,NZGD2000,NZTM,Spot Height
MB3,3033,435.382,0.009,103.8,Otago Vertical Datum,4864133.864,1356095.244,NZGD2000,NZTM,Fence
MB3,3034,441.336,-0.001,104.211,Otago Vertical Datum,4864129.556,1356099.354,NZGD2000,NZTM,Fence
MB3,3035,447.51,-0.009,104.557,Otago Vertical Datum,4864125.088,1356103.614,NZGD2000,NZTM,Dune
MB3,3036,450.332,-0.002,105.047,Otago Vertical Datum,4864123.038,1356105.553,NZGD2000,NZTM,Dune
MB3,3037,454.239,0.007,106.098,Otago Vertical Datum,4864120.2,1356108.239,NZGD2000,NZTM,Dune
